date,jisdor,previous_jisdor,change_idr,return_pct,news_count,armed_conflict_count,sanctions_count,trade_conflict_count,energy_geopolitics_count,political_instability_count,monetary_geoeconomic_count
2021-09-01,14284,,,,1,0,0,0,0,0,1
2021-09-02,14281,14284.0,-3.0,-0.021002520302437766,4,1,0,1,0,0,2
2021-09-03,14261,14281.0,-20.0,-0.1400462152510329,1,0,0,0,0,0,1
2021-09-06,14239,14261.0,-22.0,-0.15426688170534497,2,1,0,0,0,0,1
2021-09-07,14195,14239.0,-44.0,-0.30901046421799583,0,0,0,0,0,0,0
2021-09-08,14266,14195.0,71.0,0.5001761183515363,3,0,0,0,0,1,2
2021-09-09,14272,14266.0,6.0,0.042058040095338534,3,1,0,0,0,0,2
2021-09-10,14225,14272.0,-47.0,-0.32931614349775984,4,0,0,0,1,0,3
2021-09-13,14260,14225.0,35.0,0.2460456942003475,6,3,0,0,0,0,3
2021-09-14,14257,14260.0,-3.0,-0.021037868162687712,4,0,0,0,0,0,4
2021-09-15,14252,14257.0,-5.0,-0.03507049168829379,7,1,1,0,1,0,4
2021-09-16,14238,14252.0,-14.0,-0.09823182711198308,6,2,0,0,1,0,3
2021-09-17,14233,14238.0,-5.0,-0.035117291754460656,3,0,1,0,1,0,1
2021-09-20,14251,14233.0,18.0,0.12646666198272705,4,0,0,0,0,0,4
2021-09-21,14244,14251.0,-7.0,-0.049119360044913574,2,2,0,0,0,0,0
2021-09-22,14249,14244.0,5.0,0.0351024992979454,3,1,1,0,1,0,0
2021-09-23,14256,14249.0,7.0,0.04912625447399677,8,0,1,1,0,0,6
2021-09-24,14250,14256.0,-6.0,-0.042087542087543284,3,0,0,0,0,0,3
2021-09-27,14258,14250.0,8.0,0.056140350877198486,4,0,1,0,1,0,2
2021-09-28,14269,14258.0,11.0,0.07714967036049902,5,0,0,0,0,0,5
2021-09-29,14307,14269.0,38.0,0.26631158455392434,2,0,0,0,0,0,2
2021-09-30,14321,14307.0,14.0,0.09785419724610556,10,1,0,0,3,0,6
2021-10-01,14315,14321.0,-6.0,-0.041896515606454354,4,0,0,0,0,0,4
2021-10-04,14276,14315.0,-39.0,-0.2724414949353826,5,0,0,0,0,0,5
2021-10-05,14260,14276.0,-16.0,-0.11207621182404148,2,0,0,0,0,0,2
2021-10-06,14245,14260.0,-15.0,-0.10518934081346076,4,0,0,0,1,0,3
2021-10-07,14238,14245.0,-7.0,-0.04914004914005066,4,1,0,2,0,0,1
2021-10-08,14225,14238.0,-13.0,-0.09130495856159992,4,0,0,0,0,0,4
2021-10-11,14210,14225.0,-15.0,-0.10544815465729496,4,2,0,0,1,0,1
2021-10-12,14217,14210.0,7.0,0.04926108374383453,3,1,0,0,0,0,2
2021-10-13,14221,14217.0,4.0,0.0281353309418364,7,0,0,0,0,0,7
2021-10-14,14155,14221.0,-66.0,-0.4641023837986036,8,0,0,0,2,0,6
2021-10-15,14084,14155.0,-71.0,-0.5015895443306273,5,1,0,0,1,0,3
2021-10-18,14096,14084.0,12.0,0.08520306731041316,2,0,0,0,0,0,2
2021-10-19,14080,14096.0,-16.0,-0.11350737797957144,4,3,0,0,0,0,1
2021-10-21,14133,14080.0,53.0,0.37642045454544526,10,0,0,0,1,0,9
2021-10-22,14162,14133.0,29.0,0.2051935187150633,9,0,1,0,2,0,6
2021-10-25,14183,14162.0,21.0,0.1482841406581059,5,1,0,0,0,0,4
2021-10-26,14165,14183.0,-18.0,-0.12691250088133765,3,1,0,0,0,0,2
2021-10-27,14184,14165.0,19.0,0.13413342746204648,4,1,0,0,0,1,3
2021-10-28,14199,14184.0,15.0,0.10575296108290555,1,0,0,0,0,0,1
2021-10-29,14171,14199.0,-28.0,-0.19719698570321853,3,0,1,0,0,0,2
2021-11-01,14235,14171.0,64.0,0.45162656128714396,11,0,1,1,0,0,9
2021-11-02,14261,14235.0,26.0,0.18264840182649067,4,1,0,0,0,0,3
2021-11-03,14301,14261.0,40.0,0.2804852394642676,8,0,0,0,0,0,8
2021-11-04,14327,14301.0,26.0,0.1818054681490766,8,0,0,0,1,0,7
2021-11-05,14374,14327.0,47.0,0.32805192992253485,9,2,0,0,2,1,5
2021-11-08,14268,14374.0,-106.0,-0.7374426047029314,10,2,1,0,2,0,5
2021-11-09,14233,14268.0,-35.0,-0.24530417717970598,5,0,0,0,0,0,5
2021-11-10,14253,14233.0,20.0,0.14051851331413623,6,0,0,0,0,0,6
2021-11-11,14288,14253.0,35.0,0.2455623377534577,22,0,0,0,0,1,21
2021-11-12,14243,14288.0,-45.0,-0.314949608062709,14,3,0,0,1,0,10
2021-11-15,14206,14243.0,-37.0,-0.2597767324299616,11,2,0,0,0,0,9
2021-11-16,14211,14206.0,5.0,0.035196395889069976,15,2,1,1,1,0,10
2021-11-17,14259,14211.0,48.0,0.3377665188938117,13,2,1,0,1,0,9
2021-11-18,14231,14259.0,-28.0,-0.19636720667648433,5,0,0,0,1,0,4
2021-11-19,14237,14231.0,6.0,0.042161478462521274,4,1,0,0,0,0,3
2021-11-22,14255,14237.0,18.0,0.12643113015382568,9,0,0,0,0,0,9
2021-11-23,14272,14255.0,17.0,0.11925640126271286,7,0,0,0,0,1,6
2021-11-24,14272,14272.0,0.0,0.0,5,0,0,0,0,0,5
2021-11-25,14280,14272.0,8.0,0.05605381165918466,10,3,0,0,0,0,8
2021-11-26,14280,14280.0,0.0,0.0,1,1,0,0,0,0,0
2021-11-29,14340,14280.0,60.0,0.42016806722688926,3,0,0,0,0,0,3
2021-11-30,14320,14340.0,-20.0,-0.1394700139469962,5,0,0,1,0,0,5
2021-12-01,14353,14320.0,33.0,0.23044692737430594,4,0,0,0,1,0,3
2021-12-02,14378,14353.0,25.0,0.17417961401797744,9,0,0,1,1,0,7
2021-12-03,14408,14378.0,30.0,0.2086521073862757,3,0,0,1,1,0,1
2021-12-06,14441,14408.0,33.0,0.22903942254304255,4,1,0,0,0,0,3
2021-12-07,14408,14441.0,-33.0,-0.22851603074579563,6,0,1,0,1,1,3
2021-12-08,14348,14408.0,-60.0,-0.41643531371460263,3,1,0,0,0,0,2
2021-12-09,14351,14348.0,3.0,0.020908837468636143,8,2,0,0,0,0,6
2021-12-10,14378,14351.0,27.0,0.18814019928925507,6,0,0,0,0,0,6
2021-12-13,14346,14378.0,-32.0,-0.22256224787869927,16,0,0,0,0,0,16
2021-12-14,14348,14346.0,2.0,0.013941168269893112,10,1,0,0,0,0,9
2021-12-15,14337,14348.0,-11.0,-0.0766657373850066,10,0,0,0,1,0,9
2021-12-16,14343,14337.0,6.0,0.04184975936387669,10,1,0,0,1,0,8
2021-12-17,14343,14343.0,0.0,0.0,8,1,1,0,0,0,6
2021-12-20,14384,14343.0,41.0,0.28585372655651753,2,0,0,0,0,0,2
2021-12-21,14349,14384.0,-35.0,-0.24332591768632117,2,1,0,0,0,0,1
2021-12-22,14264,14349.0,-85.0,-0.5923757753153569,0,0,0,0,0,0,0
2021-12-23,14251,14264.0,-13.0,-0.09113853056645915,2,1,0,0,0,0,1
2021-12-24,14219,14251.0,-32.0,-0.2245456459195827,0,0,0,0,0,0,0
2021-12-27,14225,14219.0,6.0,0.04219706027146497,0,0,0,0,0,0,0
2021-12-28,14237,14225.0,12.0,0.08435852372583597,1,0,0,0,0,0,1
2021-12-29,14265,14237.0,28.0,0.19667064690593872,0,0,0,0,0,0,0
2021-12-30,14269,14265.0,4.0,0.028040658955474917,3,1,0,0,0,0,2
2021-12-31,14278,14269.0,9.0,0.06307379634171717,2,0,1,0,0,0,1
2022-01-03,14270,14278.0,-8.0,-0.05603025633842407,1,1,0,0,0,0,0
2022-01-04,14310,14270.0,40.0,0.2803083391730965,3,0,0,0,0,0,3
2022-01-05,14365,14310.0,55.0,0.38434661076169885,3,0,0,0,1,0,2
2022-01-06,14396,14365.0,31.0,0.21580229725026712,6,0,0,0,1,0,5
2022-01-07,14360,14396.0,-36.0,-0.25006946373993255,7,0,0,0,0,1,6
2022-01-10,14323,14360.0,-37.0,-0.2576601671309242,7,0,0,0,0,1,6
2022-01-11,14299,14323.0,-24.0,-0.16756266145360188,9,1,0,0,0,0,8
2022-01-12,14302,14299.0,3.0,0.020980488146027376,10,3,1,0,0,0,7
