GlobalEventID	SQLDATE	Actor1Code	Actor1Name	Actor1CountryCode	Actor1Type1Code	Actor2Code	Actor2Name	Actor2CountryCode	Actor2Type1Code	EventCode	EventBaseCode	EventRootCode	QuadClass	GoldsteinScale	NumMentions	NumSources	NumArticles	AvgTone	ActionGeo_CountryCode	DATEADDED	SOURCEURL
1001925380	20200901	JUD	CIRCUIT COURT OF APPEALS		JUD					120	120	12	3	-4.0	20	1	20	-4.44729682820307	US	20210901000000	https://biologicaldiversity.org/w/news/press-releases/lawsuit-filed-after-biden-opens-79-million-acres-of-gulf-of-mexico-for-oil-2021-08-31/
1001925382	20200901	OPP	PRISONER		OPP	AFG	AFGHANISTAN	AFG		192	192	19	4	-9.5	10	2	10	-3.3212116995427	AF	20210901000000	https://abc17news.com/politics/national-politics/cnn-us-politics/2021/08/31/biden-set-to-address-the-nation-following-the-us-withdrawal-from-afghanistan/
1001925419	20210825	REB	SUICIDE BOMBER		REB					1831	183	18	4	-10.0	20	2	20	-4.93882368013876	US	20210901000000	https://gazette.com/ap/politics/biden-praises-airlift-defends-departure-from-forever-war/article_2660163b-6106-5f2a-acf9-5649b06186db.html
1001925420	20210825	REB	SUICIDE BOMBER		REB	LEG	LAWMAKER		LEG	190	190	19	4	-10.0	20	2	20	-4.93882368013876	AF	20210901000000	https://gazette.com/ap/politics/biden-praises-airlift-defends-departure-from-forever-war/article_2660163b-6106-5f2a-acf9-5649b06186db.html
1001925428	20210825	USAMED	REUTERS	USA	MED	IGOUNO	UNITED NATIONS		IGO	190	190	19	4	-10.0	10	1	10	-3.17460317460318	AF	20210901000000	https://www.breitbart.com/asia/2021/08/31/u-n-security-council-politely-requests-taliban-respect-human-rights/
1001925552	20210901					GOV	GOVERNMENT		GOV	100	100	10	3	-5.0	36	4	36	-0.468100353442311	EI	20210901000000	https://www.independent.co.uk/news/uk/politics/universal-credit-uplift-uk-coffey-b1911856.html
1001925553	20210901					GOV	GOVERNMENT		GOV	100	100	10	3	-5.0	10	1	10	1.68067226890757	IT	20210901000000	http://www.voxy.co.nz/politics/5/392004
1001925554	20210901					GOV	GOVERNMENT		GOV	100	100	10	3	-5.0	6	1	6	-1.14226375908619	US	20210901000000	https://www.bizjournals.com/portland/news/2021/08/31/us-sen-wyden-on-not-betting-against-portland.html
1001925556	20210901					GOV	AUTHORITIES		GOV	173	173	17	4	-5.0	10	1	10	-8.46730975348334	US	20210901000000	https://abcnews.go.com/US/wireStory/backpage-owners-head-trial-alleged-sex-ads-79752679
1001925558	20210901					GOV	ADMINISTRATION		GOV	190	190	19	4	-10.0	6	1	6	-5.54371002132196	US	20210901000000	https://muscatinejournal.com/news/state-and-regional/iowa/state-mask-bans-face-federal-civil-rights-inquiries/article_bfbb8aae-b6f1-56a0-83df-0e35d5b775cc.html
1001925559	20210901					GOV	GOVERNOR		GOV	190	190	19	4	-10.0	6	2	6	-1.16432613181637	US	20210901000000	https://www.kbyr.com/2021/08/31/even-in-backup-role-federal-government-supports-ida-victims/
1001925577	20210901					JUD	DEFENSE ATTORNEY		JUD	100	100	10	3	-5.0	12	4	12	-8.50325035674647	MY	20210901000000	https://www.wboc.com/story/44643524/bali-bomb-case-at-guantanamo-runs-into-immediate-challenges
1001925578	20210901					JUD	JUDGE		JUD	112	112	11	3	-2.0	8	1	8	-7.75444264943457	US	20210901000000	https://www.houstonchronicle.com/news/houston-texas/houston/article/GOP-bail-bill-on-the-way-to-Abbott-s-desk-after-16426576.php
1001925580	20210901					JUD	JUDGE		JUD	114	114	11	3	-2.0	5	1	5	-3.35195530726257	US	20210901000000	https://news.stlpublicradio.org/health-science-environment/2021-08-31/nearly-1-000-missouri-nurses-could-get-compensation-in-lawsuit-over-unpaid-time
1001925591	20210901					LEG	SENATOR		LEG	190	190	19	4	-10.0	20	2	20	-0.81967213114754		20210901000000	https://siouxcityjournal.com/news/state-and-regional/govt-and-politics/redistricting-special-session-must-be-completed-within-two-weeks-speaker-tells-senators/article_837289e4-8dad-5772-81a5-6d65c28a7e08.html
1001925592	20210901					LEG	SENATE		LEG	192	192	19	4	-9.5	12	2	12	-5.02144607843138	US	20210901000000	https://www.calgarysun.com/news/world/biden-cites-afghan-military-trump-role-in-messy-afghanistan-exit/wcm/a1d9208d-9d1b-44cf-9551-824b801010bf
1001925593	20210901					LEG	SENATE		LEG	192	192	19	4	-9.5	8	1	8	-5.3125	AF	20210901000000	https://www.dailymaverick.co.za/article/2021-08-31-biden-cites-afghan-military-trump-role-in-messy-afghanistan-exit-source-reuters/
1001925606	20210901					MIL	ARMY STAFF		MIL	190	190	19	4	-10.0	10	1	10	-0.61855670103093	IZ	20210901000000	https://thehill.com/homenews/house/570281-more-than-150-lawmakers-introduce-bill-to-award-congressional-gold-medal-to
1001925768	20210901	AFG	AFGHANISTAN	AFG		AFGGOV	HAMID KARZAI	AFG	GOV	160	160	16	4	-4.0	8	2	8	-8.54241338112306	AF	20210901000000	https://www.onenewspage.com/n/World/1zn36wavej/Filmmaker-documents-what-it-like-for-someone.htm
1001925824	20210901	AFG	AFGHANISTAN	AFG		UAF	ENEMY COMBATANT		UAF	192	192	19	4	-9.5	6	1	6	-3.43642611683848	AF	20210901000000	https://www.djournal.com/news/national/it-was-a-real-numb-feeling-afghan-war-veterans-react-to-u-s-withdrawal/article_642c1219-02e9-579e-af25-8f9486f4b0ca.html
1001925837	20210901	AFG	AFGHANISTAN	AFG		USA	THE US	USA		100	100	10	3	-5.0	20	2	20	-1.67028349801459	AF	20210901000000	https://breakingdefense.com/2021/08/after-two-decades-us-ends-combat-mission-in-afghanistan/
1001925838	20210901	AFG	AFGHANISTAN	AFG		USA	UNITED STATES	USA		100	100	10	3	-5.0	8	1	8	1.11731843575419	AF	20210901000000	https://news.yahoo.com/britain-talks-taliban-safe-passage-201408478.html
1001925863	20210901	AFGGOV	HAMID KARZAI	AFG	GOV	AFGINSTAL	TALIBAN	AFG	INS	100	100	10	3	-5.0	6	1	6	-4.96323529411765	AF	20210901000000	https://www.calgarysun.com/news/world/biden-cites-afghan-military-trump-role-in-messy-afghanistan-exit/wcm/a1d9208d-9d1b-44cf-9551-824b801010bf
1001925922	20210901	AFGINSTAL	TALIBAN	AFG	INS	GOV	MINISTRY		GOV	173	173	17	4	-5.0	8	1	8	-1.80995475113122	AF	20210901000000	https://www.cnn.com/world/live-news/afghanistan-taliban-us-news-08-16-21/h_5857e760cc478ba44a27a786c0435c38
1001925935	20210901	AFGINSTAL	TALIBAN	AFG	INS	REB	INSURGENT GROUP		REB	100	100	10	3	-5.0	10	1	10	-2.60791366906475	AF	20210901000000	https://www.cairnspost.com.au/taliban-celebrate-us-troops-withdrawal-from-afghanistan-amid-august-31-deadline/news-story/ceef40c49992a9b6a6aa0fa977ce926f?nk=044793180187c62ad8c801220507171d-1630453639
1001925956	20210901	AFGMIL	AFGHAN	AFG	MIL	AFG	AFGHANISTAN	AFG		111	111	11	3	-2.0	6	1	6	-5.3125	US	20210901000000	https://www.dailymaverick.co.za/article/2021-08-31-biden-cites-afghan-military-trump-role-in-messy-afghanistan-exit-source-reuters/
1001925957	20210901	AFGMIL	AFGHAN	AFG	MIL	AFG	AFGHANISTAN	AFG		127	127	12	3	-5.0	6	1	6	-5.3125	US	20210901000000	https://www.dailymaverick.co.za/article/2021-08-31-biden-cites-afghan-military-trump-role-in-messy-afghanistan-exit-source-reuters/
1001926020	20210901	BGD	DHAKA	BGD		UAF	MILITANT		UAF	112	112	11	3	-2.0	7	1	7	-9.46843853820596	BG	20210901000000	https://www.daily-sun.com/post/573934/Six-militants-awarded-death
1001926023	20210901	BHS	NASSAU	BHS		JUD	DEFENSE LAWYER		JUD	112	112	11	3	-2.0	10	1	10	-4.59770114942529		20210901000000	https://www.news4jax.com/news/local/2021/08/31/defense-asks-judge-to-submit-questionnaire-to-potential-jurors-in-kimberly-kessler-trial/
